,timestamp,pilot,target,shiptype,module_or_ammo,dmg,hit_quality
1367,2023-02-23 16:36:44,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,292,Smashes
1368,2023-02-23 16:36:44,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,196,Hits
1369,2023-02-23 16:36:48,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,310,Smashes
1370,2023-02-23 16:36:48,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,307,Smashes
1371,2023-02-23 16:36:48,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,220,Hits
1372,2023-02-23 16:36:48,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,220,Hits
1373,2023-02-23 16:36:48,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,329,Smashes
1376,2023-02-23 16:36:52,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,327,Smashes
1377,2023-02-23 16:36:52,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,319,Smashes
1378,2023-02-23 16:36:52,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,320,Smashes
1379,2023-02-23 16:36:52,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,206,Hits
1380,2023-02-23 16:36:52,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,262,Penetrates
1384,2023-02-23 16:36:56,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,324,Smashes
1385,2023-02-23 16:36:56,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,310,Smashes
1386,2023-02-23 16:36:56,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,287,Smashes
1387,2023-02-23 16:36:56,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,326,Smashes
1389,2023-02-23 16:37:00,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,212,Hits
1390,2023-02-23 16:37:00,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,291,Smashes
1391,2023-02-23 16:37:00,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,144,Glances Off
1392,2023-02-23 16:37:00,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,333,Smashes
1393,2023-02-23 16:37:00,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,274,Penetrates
1396,2023-02-23 16:37:04,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,319,Smashes
1397,2023-02-23 16:37:04,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,100,Grazes
1398,2023-02-23 16:37:04,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,28,Grazes
1399,2023-02-23 16:37:04,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,163,Wrecks
1400,2023-02-23 16:37:04,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,45,Hits
1403,2023-02-23 16:37:08,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,54,Hits
1404,2023-02-23 16:37:08,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,58,Penetrates
1405,2023-02-23 16:37:08,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,52,Hits
1406,2023-02-23 16:37:08,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,64,Penetrates
1407,2023-02-23 16:37:08,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,28,Grazes
