,pilot,linetext,timestamp
1235,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:17:11
1236,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:17:13
1237,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:18:50
1238,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:18:51
1239,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units,2023-02-23 15:20:28
1240,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:20:30
1241,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units,2023-02-23 15:22:07
1242,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:22:08
1243,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:23:46
1244,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units,2023-02-23 15:23:47
1245,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:25:24
1246,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:25:25
1247,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:27:03
1248,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:27:04
1249,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units,2023-02-23 15:28:42
1250,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units,2023-02-23 15:28:43
1251,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:30:20
1252,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units,2023-02-23 15:30:21
1253,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:31:58
1254,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units,2023-02-23 15:31:59
